	id	sentence1	sentence2	is_duplicate
321296	a4da64a4e943bf8b008d174ca	How can I master myself in geometry?	How can I master geometry for the CAT-14?	0.0
373075	f965ab2d29d51008ab3872f47	Can deleted pictures on Instagram be recovered?	How do I delete a picture on Instagram?	0.0
213557	5aca073f4a977d55176f68572	Who is the best prime minister India has ever had?	Who is the best prime minister of the india till now?	1.0
209343	a8abbd08d3401287da42acfb9	What qualifications do I need to get a job in CERN?	What qualifications do I need to be able to work for CERN?	1.0
389061	65dffaf8ac0ed7f3ebfcf0b02	In what situations is it okay to lie?	When is it okay to lie?	1.0
129243	2c84e2535e3fda2a283c5dc14	How do off campus placements take place?	How do I get off campus placement?	0.0
10482	dcd2019ba80d98b37e72303c8	What is the difference between Oracle 9i and 10i?	Are Oracle SOA and Oracle OSB completely different, or one is one a part of the other one (this question comes from two architectures argument)?	0.0
282976	a4d72591e2e6e315825e1715b	How I can I propose for a gay sex?	What doesit take for a man to propose?	0.0
387468	54e578b91e1b5209b1caafbaa	Will the fight between the U.S. & Russia end like what is shown in the video below?	What would U.S.–Russia relations be like today if Russia had signed the Maastricht Treaty in 1991?	0.0
180077	38940bb7b3fbc2419c6844b82	What do NSITians think of IIIT A?	What do NSITians think of IIIT H?	0.0
67398	ed0a7da62b22b76bce9bb3ceb	I have lost my Aadhaar enrollment slip & registered mobile number as well. How do I download my Aadhaar card?	I don't have an enrollment number or an Aadhaar card number. What should I do?	1.0
54099	e5e4b155aa91c82c9d8e9e059	How can someone buy a legit Social Security Card?	Where can I buy a legit Social Security Number?	1.0
233130	a946a79cc1bf4a3d3bd7f39b9	Where can I get professional photo booths service in Sydney?	Where can I get the best quality photo booths in Sydney?	1.0
146780	e52929a5176c82cbed0c36571	Which are the best Hollywood comedy movies that won no Oscar?	Which are the best Hollywood comedy movies?	0.0
368756	0ae74aadbae4ceb1364b8af02	What do Turks and Azerbaijanis think about Tajikistan?	What do Azerbaijanis think of Turks?	0.0
398582	a3ec56580cc7614a60756888d	How can I help my girlfriend not feel sad after sex?	Why do I not want to have sex with my girlfriend?	0.0
131913	f4d6dfb558a0334a49202bca0	Why did Nehru Sign Indus water treaty which was not in India's interest?	Why did India signed Indus water treaty?	1.0
300267	9ba2a4d94d4008b83d6ded540	How can I learn megruli?	How does one learn to learn?	0.0
88728	1452d08fae3e592184eb80da7	What's the best mistake you've ever made?	What was your Best mistake and Why?	1.0
193688	a47190b797cc1c92cf725a499	What universities does Prosperity Bancshares recruit new grads from? What majors are they looking for?	What universities does Servisfirst Bancshares recruit new grads from? What majors are they looking for?	0.0
194846	32d7b4c059f37be5a012f603d	What is it like flying first class?	What is like flying first class?	1.0
312473	4e8c448f06c70639a657c718b	Which languages do not use an alphabet?	Why did Chinese never evolve to use some form of alphabet?	0.0
218424	aa1d83432d38f37feac75b8e6	Which are some good institutes for preparation of CSIR NET life sciences & nearby faridabad?	Which are some good institutes for preparation of CSIR NET life sciences & nearby to faridabad?	1.0
155696	c27a302bf1a534981feadc606	How can I concentrate and focus on my studies?	How should I concentrate on studies?	1.0
384585	6b9b3b6c46448467f358f93b5	What is your favorite rap song?	What is your favorite Rap song? Do answer.	1.0
46731	76edf21d2ca7e1b287b9d18d6	What is the tallest building in Bulgaria?	What is the tallest building in Hungary?	0.0
43353	733e7b7968a0d2bd4732fae1d	Is Darth Vader the greatest movie villain of all time?	Who is Darth Vader's mom?	0.0
