	id	sentence	sentiment

0	32a4f146782cbde1b7fa65799	 The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .	3
1	6e0fb51a6fefc7c1b6d77a1d5	 The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .	4
2	9b1d25f272afcc21d4508f652	 Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .	3
3	40ad03c7e89899424ed723b96	 You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .	2
4	1ade8c062b919bec94fb66db9	 Yet the act is still charming here .	3
5	fd2acb259d78020f00517d563	 Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .	4
6	4d16aa7448d8f3a30d65f8e3a	 Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .	4
7	3c72741336a5eae80cc6b1a14	 Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .	3
8	8e75aa92b8159de17f19119af	 a screenplay more ingeniously constructed than `` Memento ''	4
9	792eb1bcbfc68200921fe37d8	 `` Extreme Ops '' exceeds expectations .	3
10	5fccbb9f744a17cda43da3c9d	 Good fun , good action , good acting , good dialogue , good pace , good cinematography .	4
11	f9406e8c2efdc5fdf6848b994	 You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .	2
12	b2a8eba792970eae4d28ac2f6	 Dramas like this make it human .	4
13	ca8c1f98e96aaf7523a65c3f6	 A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .	2
14	aeb522ab422ddc747171bef6a	 Still , this flick is fun , and host to some truly excellent sequences .	4
15	e2f38542d6ee1f0ad0c2c8e76	 Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .	3
16	89a21a8395a39e2b7c31eacbd	 You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .	3
17	9dbfce2154c4f324ef4a70c37	 Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .	2
18	3db957b457a28a4a7c0e82feb	 Absorbing character study by André Turpin .	4
19	83bed82802327fc4e5d2984d0	 If you love reading and\/or poetry , then by all means check it out .	3
20	3e1c87d3d35bcd38008d5e41b	 You 'll probably love it .	4
21	4b3bcf530a5354af498796d9a	 `` Frailty '' has been written so well , that even a simple `` Goddammit ! ''	3
